,companyname,year,country,bvdidnumber,dbdunsnumber,countryisocode,tfp_available
6768,KAERNTNER SPARKASSE,2001,Austria,AT45365,NA,AT,0
6774,VOLKSBANK SALZBURG,2001,Austria,AT45366,NA,AT,0
6779,SCHOELLERBANK AG,2001,Austria,AT45441,NA,AT,0
6786,ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG,2001,Austria,AT46146,NA,AT,0
6799,NIEDEROESTERREICHISCHE LANDESBANK-HYPOTHEKENBANK AG,2001,Austria,AT46403,NA,AT,0
6804,OESTERREICHISCHE POSTSPARKASSE AG,2001,Austria,AT46502,NA,AT,0
6810,BANK AUSTRIA CREDITANSTALT AG,2001,Austria,AT46588,NA,AT,0
6815,LANDES-HYPOTHEKENBANK TIROL,2001,Austria,AT46744,NA,AT,0
6820,FACTOR BANK AG,2001,Austria,AT46745,NA,AT,0
6836,PORSCHE BANK AG,2001,Austria,AT46841,NA,AT,0
6841,DENIZBANK AG,2001,Austria,AT47623,NA,AT,0
6850,SPARKASSE VOITSBERG-KOEFLACH BANK AG,2001,Austria,AT48345,NA,AT,0
6862,SPARKASSE SCHWAZ,2001,Austria,AT48361,NA,AT,0
6867,SPARKASSE DER STADT KITZBÜHEL,2001,Austria,AT48365,NA,AT,0
6883,VOLKSBANK TIROL INNSBRUCK-SCHWAZ AG,2001,Austria,AT48619,NA,AT,0
6901,VOLKSBANK KUFSTEIN RGMBH,2001,Austria,AT48833,NA,AT,0
6906,SPARKASSE NIEDEROSTERREICH MITTE WEST AKTIENGESELLSCHAFT,2001,Austria,AT48849,NA,AT,0
6918,EUROPAY AUSTRIA ZAHLUNGSVERKEHRSSYSTEME GESMBH,2001,Austria,AT48890,NA,AT,0
6923,VOLKSBANK LANDECK,2001,Austria,AT48892,NA,AT,0
6936,VEREINIGTE VOLKSBANKEN BADEN-MOEDLING-LIESING RGMBH,2001,Austria,AT49069,NA,AT,0
6943,AUTOBANK AG,2001,Austria,AT49426,NA,AT,0
6949,VOLKSBANK OST RGMBH,2001,Austria,AT49742,NA,AT,0
6959,PFANDBRIEFSTELLE DER OESTERREICHISCHEN LANDES-HYPOTHEKENBANKEN,2001,Austria,AT49876,NA,AT,0
6971,RAIFFEISEN REGIONALBANK FIEBERBRUNN ST JOHANN IN TIROL RGMBH,2001,Austria,AT49925,NA,AT,0
7093,ZUMTOBEL AG,2001,Austria,AT9010000310,NA,AT,1
7309,WOLFORD AG,2001,Austria,AT9010001128,NA,AT,1
8886,VORARLBERGER KRAFTWERKE AG,2001,Austria,AT9010015034,NA,AT,0
11026,BETANDWIN.COM INTERACTIVE ENTERTAINMENT AG,2001,Austria,AT9010050079,NA,AT,0
14180,HERBERT KNEITZ GESELLSCHAFT M.B.H.,2001,Austria,AT9030000448,NA,AT,1
14358,SCHREINER TROCKENBAU GMBH,2001,Austria,AT9030001802,NA,AT,0
14387,,2001,Austria,AT9030001883,NA,AT,0
14402,BACK - TECH MASCHINENBAU- UND HANDELSGESELLSCHAFT M.B.H.,2001,Austria,AT9030001904,NA,AT,0
14461,ELEKTRO PFUND GESELLSCHAFT M.B.H.,2001,Austria,AT9030002274,NA,AT,0
14567,,2001,Austria,AT9030003041,NA,AT,0
14684,BINDER AUTOBEDARF GESELLSCHAFT M.B.H.,2001,Austria,AT9030004234,NA,AT,0
14729,AHT COOLING SYSTEMS GMBH & CO KG,2001,Austria,AT9030004406,NA,AT,0
14735,,2001,Austria,AT9030004473,NA,AT,0
14756,KORMANN GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9030004507,NA,AT,0
